student,pre_test_score_red,pre_test_comp_time_red_sec,post_test_score_red,post_test_comp_time_red_sec,pre_test_score_green,pre_test_comp_time_green_sec,post_test_score_green,post_test_comp_time_green_sec
1,0.8,112.906,1,64.948,0.1,97.826,0.9,66.234
2,0.6667,111.964,0.8667,75.538,0.5,88.759,1,72.769
3,0.4667,140.956,0.8,121.034,0.2,147.89,0.7,48.257
4,0.2,188.01,0.5333,104.769,0.5,89.308,0.6,77.479
5,0.9333,94.53,1,65.21,0.8,80.21,0.9,63
6,0.866,87.15,1,111.035,0.6,97.906,0.7,70.974
7,0.7333,94.533,0.9333,65.208,0.3,80.208,0.7,63
8,0.7333,136,0.9333,112,0.5,139,0.9,66
9,0.4667,147,0.8667,142,0.3,61,0.9,92
10,0.2667,132.62,0.8667,148.61,0.4,123.2,0.9,137.96
11,0.5333,112.88,0.9333,148.84,0.6,69.43,0.6,78.92
12,0.2667,127.74,0.9333,131.54,0.6,96.98,0.7,117.49
13,0.7333,142.375,1,60.506,0.1,167.579,0.6,104.238
14,0.5333,204.107,0.5333,120.639,0.2,105.703,0.5,54.184
15,0.7333,128.087,1,61.054,0.9,96.131,1,51.371
16,0.5333,200.159,0.8,100.564,0.7,67.514,0.9,64.969
17,0.3333,158.901,0.6667,154.297,0.5,126.681,0.9,88.202
18,0.4,139.27,0.87,86.505,0.3,124.132,0.7,96.378
19,0.47,81.682,0.87,125.653,0.3,119.796,0.6,98.11
20,0.867,95.126,1,55.495,0.8,91.184,0.8,67.792
21,0.53,176.958,0.8,189.632,0.3,156.319,0.9,131.517
22,0.66,123.574,1,85.38,0.5,108.471,0.9,104.053
23,0.46,145.303,0.73,138.31,0.7,114.758,0.8,113.673
24,0.66,142.103,1,127.914,0.5,87.971,0.9,86.908
25,0.8,135,0.9333,196.8,0.9,192,1,128.4
26,0.53,156.077,0.8,142.287,0.5,99.19,0.8,101.903
27,0.73,81.752,0.8,109.894,0.6,110.191,0.8,100.433
28,0.7333,81.6,0.9333,85.8,0.1,72.6,0.6,148.8
29,0.7333,198,1,210,0.8,189,1,135
30,0.3333,132.365,1,109.707,0.5,96.507,0.6,119.61
31,0.3333,156.049,0.9333,127.778,0.3333,72.749,0.3333,91.157
32,0.8,158.483,0.9333,104.316,0.2,137.259,0.5,138.529
33,1,75.206,0.8667,54.189,0.8,66.339,1,40.897
34,0.8667,80.895,0.9333,88.143,0.8,82.537,1,64.37
35,0.8667,85.168,0.9333,66.971,1,84.293,0.9,59.783
36,1,127.638,0.9333,101.265,0.6,127.945,1,114.73
37,0.8,113.907,1,129.183,0.3,153.532,0.7,119.519
38,0.6667,202.091,0.6667,149.21,0,59.806,0.4,175.007
39,0.6,128.124,0.8667,81.13,0.3,151.488,0.9,47.113
40,0.4,109.491,0.8,106.257,0.3,79.175,0.6,64.227
41,0.8,97.201,0.8,109.79,0.6,74.711,0.9,81.971
42,0.8,60.25,0.9333,75.574,0.5,71.199,0.8,67.347
43,0.6667,269,0.8666,240,0.4,186,0.5,194
44,0.6667,140,0.8,182,0.3,139,0.5,141
45,0.6667,246,1,292,0.4,184,0.9,168
46,0.7333,105.799,0.8,100.48,0.5,114.169,0.7,125.713
47,0.8667,111.902,1,87.115,0.7,131.217,0.8,93.048
48,0.6667,164.845,1,84.672,0.4,95.097,0.7,77.817
49,0.6667,100.055,0.8667,60.813,0.5,78.893,0.5,86.154
50,0.6,104.182,0.7333,88.853,0.4,98.552,0.6,82.326
51,0.6,103.097,0.9333,86.749,0.2,119.916,0.4,95.932
52,0.6667,117.913,0.7333,94.532,0.5,117.784,0.9,95.02
53,0.7333,190.8,0.6,186,0.6,142.57,1,74.042
54,0.6,250.8,1,207,0.5,134.868,0.6,131.832
55,0.8,207,0.9333,198,0.3,133.005,0.8,92.367
56,0.9333,107.165,1,56.113,0.7,115.421,1,61.214
57,0.7333,107.9,1,93.197,0.6,105.746,0.9,89.91
58,0.4,118.453,0.9333,151.294,0.5,108.426,0.6,139.781
59,0.5,112.954,0.93,84.463,0.7,119.787,0.7,90.263
60,0.53,117.347,0.93,86.337,0.7,131.625,1,96.706
61,0.47,73.588,0.8,58.708,0.2,139.327,0.8,48.94
